Brown,G Building,100,200,50,150,75,100,125,250
Brown,T Building,200,400,100,300,150,200,250,500
Blue,H Building,300,600,150,450,225,300,375,750
Blue,EB Building,400,800,200,600,300,400,500,1000
Blue,N Building,500,1000,250,750,375,500,625,1250
Pink,90. Dormitory,600,1200,300,900,450,600,750,1500
Pink,91. Dormitory,700,1400,350,1050,525,700,875,1750
Pink,55. Dormitory,800,1600,400,1200,600,800,1000,2000
Orange,MA Building,900,1800,450,1350,675,900,1125,2250
Orange,SB Building,1000,2000,500,1500,750,1000,1250,2500
Orange,76. Dormitory,1100,2200,550,1650,825,1100,1375,2750
Red,69. Dormitory,1200,2400,600,1800,900,1200,1500,3000
Red,EA Building,1300,2600,650,1950,975,1300,1625,3250
Red,A Building,1400,2800,700,2100,1050,1400,1750,3500
Yellow,V Building,1500,3000,750,2250,1125,1500,1875,3750
Yellow,EA Building,1600,3200,800,2400,1200,1600,2000,4000 
Yellow,B Building,1700,3400,850,2550,1275,1700,2125,4250
Green,FF Building,1800,3600,900,2700,1350,1800,2250,4500
Green,81. Dormitory,1900,3800,950,2850,1425,1900,2375,4750
Green,SA Building,2000,4000,1000,3000,1500,2000,2500,5000
Blue,MSSF Building,2100,4200,1050,3150,1575,2100,2625,5250
Blue,EE Building,2200,4400,1100,3300,1650,2200,2750,5500
